Date,Open,High,Low,Close,Volume
2025-03-11,130.13,130.47,129.31,129.87,3433478
2025-03-12,130.29,131.04,130.24,130.58,1224137
2025-03-13,129.98,130.72,129.59,129.9,2500844
2025-03-14,128.68,129.66,128.35,128.66,1929168
2025-03-17,129.66,130.75,129.45,129.92,4443609
2025-03-18,132.85,133.07,131.32,132.0,1363476
2025-03-19,134.18,134.68,133.59,133.93,2400283
2025-03-20,131.52,133.35,131.34,132.32,2733309
2025-03-21,131.86,131.94,131.14,131.79,2559161
2025-03-24,132.26,133.3,131.96,132.52,1691757
2025-03-25,134.88,134.93,134.29,134.54,1390719
2025-03-26,133.34,135.03,132.83,133.65,2527937
2025-03-27,133.32,134.53,132.7,133.36,2149947
2025-03-28,131.43,131.59,130.66,131.23,3660149
2025-03-31,129.29,129.92,128.08,128.95,4130730
2025-04-01,130.13,131.02,129.86,130.6,4337920
2025-04-02,133.2,134.25,131.95,133.34,4296050
2025-04-03,133.08,133.92,132.57,133.27,3118324
2025-04-04,135.09,135.82,134.25,135.36,3632995
2025-04-07,136.9,137.62,134.96,136.17,3053490
2025-04-08,135.1,136.29,133.93,134.94,1996121
2025-04-09,135.24,136.55,134.79,135.75,4723292
2025-04-10,139.35,140.77,138.93,138.96,3678932
2025-04-11,139.86,140.05,138.78,138.97,1708362
2025-04-14,142.76,143.27,141.52,142.32,3610471
2025-04-15,136.19,137.84,134.52,136.81,3877450
2025-04-16,138.38,138.63,138.29,138.58,1876031
2025-04-17,139.37,140.51,138.77,138.84,3038435
2025-04-18,138.01,139.26,137.51,138.3,2270896
2025-04-21,138.76,139.94,138.24,138.58,4563706
2025-04-22,134.84,134.88,134.38,134.53,2059622
2025-04-23,133.79,134.42,133.26,134.17,1228071
2025-04-24,134.94,134.99,134.62,134.97,1378165
2025-04-25,136.7,139.47,135.41,138.04,2994849
2025-04-28,136.63,137.11,135.71,137.05,1708662
2025-04-29,135.37,136.35,134.29,135.47,3513518
2025-04-30,134.03,134.98,133.68,134.53,2315573
2025-05-01,137.13,137.38,135.78,136.46,2012117
2025-05-02,136.62,137.86,136.54,137.21,1645188
2025-05-05,136.03,136.55,135.99,136.2,2531191
2025-05-06,137.39,138.12,136.58,137.34,1415008
2025-05-07,138.21,138.26,136.45,137.62,2631993
2025-05-08,139.1,140.37,138.03,139.7,4907107
2025-05-09,138.8,139.48,138.2,138.31,4351278
2025-05-12,137.72,138.07,137.42,137.72,3342035
2025-05-13,136.58,137.35,135.89,136.99,4784146
2025-05-14,134.25,134.78,132.95,134.06,2509090
2025-05-15,134.82,134.89,134.18,134.74,4046643
2025-05-16,135.1,136.05,135.05,135.35,3768362
2025-05-19,135.47,135.84,134.57,135.44,4026768
2025-05-20,134.89,135.85,134.01,135.04,2170365
2025-05-21,132.3,133.6,132.04,132.26,1679418
2025-05-22,131.76,131.79,130.41,131.5,1700780
2025-05-23,131.53,131.99,130.74,130.91,2611754
2025-05-26,128.93,129.55,127.96,129.41,2114593
2025-05-27,130.0,130.07,129.01,129.17,2226952
2025-05-28,129.27,130.18,129.1,130.03,2736857
2025-05-29,133.73,134.2,131.93,133.79,3596289
2025-05-30,134.46,134.97,134.18,134.22,1656884
2025-06-02,134.93,135.29,134.66,134.82,3721864
2025-06-03,134.5,135.14,134.03,134.75,4947208
2025-06-04,130.87,131.13,129.66,130.95,3790416
2025-06-05,130.79,132.49,130.05,130.98,3938496
2025-06-06,130.94,132.17,130.77,131.18,2606872
2025-06-09,136.45,137.38,135.35,136.1,4539004
2025-06-10,135.94,137.05,134.04,135.79,4875754
2025-06-11,136.2,136.66,136.16,136.49,3704999
2025-06-12,136.87,137.26,136.49,136.5,2103913
2025-06-13,134.31,134.52,134.17,134.19,3994200
2025-06-16,136.9,139.01,136.43,136.57,2324070
2025-06-17,138.45,139.23,138.09,138.19,4170082
2025-06-18,139.56,140.0,139.16,139.91,4190914
2025-06-19,137.86,138.75,137.48,138.09,3649585
2025-06-20,141.39,142.53,141.05,141.08,3524388
2025-06-23,138.45,138.59,137.82,138.19,2658987
2025-06-24,139.49,140.02,138.99,139.49,2548459
2025-06-25,144.21,145.24,144.08,144.16,4876274
2025-06-26,142.65,143.11,141.92,142.11,3837981
2025-06-27,140.73,141.75,139.68,140.98,2593445
2025-06-30,141.51,142.7,139.41,141.28,2661793
2025-07-01,140.21,140.92,139.45,140.3,3382347
2025-07-02,137.03,137.12,136.17,137.12,3672914
2025-07-03,137.79,138.81,135.92,137.34,1616036
2025-07-04,135.57,135.62,135.0,135.23,4271723
2025-07-07,136.61,137.2,136.02,136.28,4391418
2025-07-08,135.01,136.03,133.53,134.48,2380346
2025-07-09,137.69,138.07,137.15,137.69,1793392
2025-07-10,136.43,137.14,135.4,136.15,1428988
2025-07-11,135.45,135.7,134.26,135.58,1180553
2025-07-14,137.44,138.05,136.67,137.31,1560696
2025-07-15,134.81,135.79,133.95,134.86,3977590
2025-07-16,135.44,136.07,134.91,135.4,4405296
2025-07-17,138.38,139.7,137.36,138.14,3416430
2025-07-18,134.56,135.83,134.2,134.89,4297291
2025-07-21,136.19,136.57,135.01,135.34,4802429
2025-07-22,135.54,136.39,134.71,135.95,1699983
2025-07-23,137.13,137.96,136.64,137.63,4760343
2025-07-24,135.63,136.03,134.99,135.16,3490706
2025-07-25,132.87,133.45,132.31,132.56,4348231
2025-07-28,133.93,133.96,133.2,133.68,2191902
2025-07-29,134.61,135.17,134.05,134.35,4852948
2025-07-30,134.93,135.12,134.69,134.94,2059920
2025-07-31,135.35,135.75,134.57,135.72,3492118
2025-08-01,134.45,134.61,133.69,134.42,3020836
2025-08-04,134.69,135.58,134.28,134.97,4737973
2025-08-05,136.04,136.43,135.24,135.64,3202575
2025-08-06,134.21,134.78,134.0,134.27,3417349
2025-08-07,137.76,138.45,137.54,138.11,1464071
2025-08-08,139.04,139.85,138.17,139.17,3768408
2025-08-11,136.94,137.01,136.14,136.77,1186833
2025-08-12,137.96,138.72,137.84,138.2,1717912
2025-08-13,135.92,137.4,135.57,136.26,1775435
2025-08-14,138.05,138.43,137.23,137.95,3174606
2025-08-15,140.53,141.0,139.94,140.43,4403322
2025-08-18,138.57,139.18,137.6,138.79,2560473
2025-08-19,140.68,141.41,139.58,140.87,4498472
2025-08-20,141.93,143.21,141.4,141.83,4006316
2025-08-21,143.04,144.83,142.13,143.67,2564718
2025-08-22,147.21,147.87,145.92,147.84,1945439
2025-08-25,147.07,147.57,145.53,147.38,3134793
2025-08-26,145.71,146.46,144.48,145.81,2602575
2025-08-27,144.08,144.54,143.8,143.95,2905350
2025-08-28,142.9,144.09,142.2,142.27,2417616
2025-08-29,142.56,142.61,141.81,142.19,4813270
2025-09-01,142.94,143.87,142.65,143.01,1612121
2025-09-02,143.68,144.15,143.65,143.69,3415572
2025-09-03,145.12,145.59,144.32,145.55,3378837
2025-09-04,145.66,146.3,145.58,145.67,2929465
2025-09-05,148.8,149.22,148.69,148.93,2524102
2025-09-08,148.58,149.32,148.16,148.43,4190541
2025-09-09,154.19,155.02,154.15,154.58,2741134
